file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/main/java/com/baomidou/dynamic/datasource/spring/boot/autoconfigure/DynamicDataSourcePoolMetricsAutoConfiguration.java,HikariDataSourceMetricsConfiguration,dynamicHikariDataSourceMeterBinder/1[ObjectProvider<DataSource>],false,63,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/Dhcp2DataSourceActiveDetector.java,com.baomidou.dynamic.datasource.destroyer.Dhcp2DataSourceActiveDetector,containsActiveConnection/1[javax.sql.DataSource],false,32,1,0,0,0,2,3,4,1,1,1,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/Dhcp2DataSourceActiveDetector.java,com.baomidou.dynamic.datasource.destroyer.Dhcp2DataSourceActiveDetector,support/1[javax.sql.DataSource],false,38,0,0,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/TeacherService.java,com.baomidou.dynamic.datasource.common.service.nest.TeacherService,TeacherService/1[javax.sql.DataSource],true,33,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/TeacherService.java,com.baomidou.dynamic.datasource.common.service.nest.TeacherService,"addTeacherWithTx/2[java.lang.String,java.lang.Integer]",false,38,1,3,3,0,2,5,10,1,2,2,5,0,0,0,0,1,0,1,2,2,0,1,0,0,0,19,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/TeacherService.java,com.baomidou.dynamic.datasource.common.service.nest.TeacherService,selectTeachers/0,false,61,1,4,3,1,3,7,13,1,4,0,7,0,0,1,0,1,0,1,3,4,0,2,0,0,0,20,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/TeacherService.java,com.baomidou.dynamic.datasource.common.service.nest.TeacherService,"addTeacherNoTx/2[java.lang.String,java.lang.Integer]",false,50,0,1,1,0,2,5,10,1,2,2,5,0,0,0,0,1,0,1,2,2,0,1,0,0,0,19,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/SchoolService.java,com.baomidou.dynamic.datasource.common.service.nest.SchoolService,"SchoolService/2[com.baomidou.dynamic.datasource.common.service.nest.TeacherService,com.baomidou.dynamic.datasource.common.service.nest.StudentService]",true,26,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/nest/SchoolService.java,com.baomidou.dynamic.datasource.common.service.nest.SchoolService,addTeacherAndStudentWithTx/0,false,32,3,5,3,2,1,2,5,1,2,0,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,8,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot-starter/src/test/java/com/baomidou/dynamic/datasource/common/v1/DsTransactionalTest.java,com.baomidou.dynamic.datasource.common.v1.DsTransactionalApplication,main/1[java.lang.String[]],false,100,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/processor/DsProcessor.java,com.baomidou.dynamic.datasource.processor.DsProcessor,setNextProcessor/1[com.baomidou.dynamic.datasource.processor.DsProcessor],false,38,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/processor/DsProcessor.java,com.baomidou.dynamic.datasource.processor.DsProcessor,matches/1[java.lang.String],false,42,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/processor/DsProcessor.java,com.baomidou.dynamic.datasource.processor.DsProcessor,"doDetermineDatasource/2[com.baomidou.dynamic.datasource.processor.MethodInvocation,java.lang.String]",false,75,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/processor/DsProcessor.java,com.baomidou.dynamic.datasource.processor.DsProcessor,"determineDatasource/2[com.baomidou.dynamic.datasource.processor.MethodInvocation,java.lang.String]",false,61,2,6,3,3,5,3,13,4,1,2,3,3,1,0,3,0,0,0,0,1,0,2,0,0,0,14,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidFilterCallBack.java,com.baomidou.dynamic.datasource.creator.druid.DruidFilterCallBack,getFilters/1[java.lang.String],false,24,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/DsTxListenerMethodAdapter.java,com.baomidou.dynamic.datasource.tx.DsTxListenerMethodAdapter,createTransactionSynchronization/1[com.baomidou.dynamic.datasource.tx.ApplicationEvent],false,52,3,3,1,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/DsTxListenerMethodAdapter.java,com.baomidou.dynamic.datasource.tx.DsTxListenerMethodAdapter,"DsTxListenerMethodAdapter/3[java.lang.String,java.lang.Class<?>,java.lang.reflect.Method]",true,34,1,1,1,0,2,1,8,0,1,3,1,0,0,0,1,0,0,1,0,2,1,1,0,0,0,14,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/DsTxListenerMethodAdapter.java,com.baomidou.dynamic.datasource.tx.DsTxListenerMethodAdapter,onApplicationEvent/1[com.baomidou.dynamic.datasource.tx.ApplicationEvent],false,44,4,3,0,3,2,4,6,0,1,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/HikariDataSourceActiveDetector.java,com.baomidou.dynamic.datasource.destroyer.HikariDataSourceActiveDetector,containsActiveConnection/1[javax.sql.DataSource],false,32,1,0,0,0,3,3,5,1,2,1,3,0,0,0,2,0,0,2,2,2,0,0,0,0,0,15,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/HikariDataSourceActiveDetector.java,com.baomidou.dynamic.datasource.destroyer.HikariDataSourceActiveDetector,support/1[javax.sql.DataSource],false,41,0,0,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/main/java/com/baomidou/dynamic/datasource/spring/boot/autoconfigure/DynamicDataSourcePoolMetricsAutoConfiguration.java,HikariDataSourceMeterBinder,"bindMetricsRegistryToHikariDataSource/2[HikariDataSource,MeterRegistry]",false,89,1,0,0,0,4,5,10,0,0,2,5,0,0,0,2,1,0,1,0,0,0,2,0,0,0,15,2,1,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/main/java/com/baomidou/dynamic/datasource/spring/boot/autoconfigure/DynamicDataSourcePoolMetricsAutoConfiguration.java,HikariDataSourceMeterBinder,HikariDataSourceMeterBinder/1[ObjectProvider<DataSource>],true,71,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/main/java/com/baomidou/dynamic/datasource/spring/boot/autoconfigure/DynamicDataSourcePoolMetricsAutoConfiguration.java,HikariDataSourceMeterBinder,bindTo/1[MeterRegistry],false,76,6,0,0,0,4,5,12,1,2,1,5,0,0,1,1,0,1,0,0,2,0,2,0,0,0,15,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/provider/YmlDynamicDataSourceProvider.java,com.baomidou.dynamic.datasource.provider.YmlDynamicDataSourceProvider,"YmlDynamicDataSourceProvider/2[com.baomidou.dynamic.datasource.creator.DefaultDataSourceCreator,java.util.Map<java.lang.String,com.baomidou.dynamic.datasource.creator.DataSourceProperty>]",true,45,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/provider/YmlDynamicDataSourceProvider.java,com.baomidou.dynamic.datasource.provider.YmlDynamicDataSourceProvider,loadDataSources/0,false,52,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-test-common/src/main/java/com/baomidou/dynamic/datasource/common/service/spel/User.java,com.baomidou.dynamic.datasource.common.service.spel.User,User/1[java.lang.String],true,33,0,5,5,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/exception/CannotFindDataSourceException.java,com.baomidou.dynamic.datasource.exception.CannotFindDataSourceException,CannotFindDataSourceException/1[java.lang.String],true,31,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/exception/CannotFindDataSourceException.java,com.baomidou.dynamic.datasource.exception.CannotFindDataSourceException,"CannotFindDataSourceException/2[java.lang.String,java.lang.Throwable]",true,41,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot-starter/src/test/java/com/baomidou/dynamic/datasource/common/v1/LoadDatasourceFromJDBCTest.java,com.baomidou.dynamic.datasource.common.v1.LoadDatasourceFromJDBCApplication$Anonymous1,executeStmt/1[java.sql.Statement],false,66,2,1,0,1,2,11,19,1,3,1,11,0,0,1,0,0,0,18,0,3,1,1,0,0,0,34,4,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,getLogWriter/0,false,55,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,setLoginTimeout/1[int],false,44,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,isWrapperFor/1[java.lang.Class<?>],false,84,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,getLoginTimeout/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,setLogWriter/1[java.io.PrintWriter],false,64,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,unwrap/1[java.lang.Class<T>],false,75,1,0,0,0,2,4,6,1,0,1,4,0,0,0,0,0,0,4,0,0,1,1,0,0,0,15,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/ds/AbstractDataSource.java,com.baomidou.dynamic.datasource.ds.AbstractDataSource,getParentLogger/0,false,94,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/test/java/com/baomidou/dynamic/datasource/common/v3/SPELTest.java,com.baomidou.dynamic.datasource.common.v3.SPELTest,createDataSourceProperty/1[java.lang.String],false,103,1,2,1,1,1,5,9,1,1,1,5,0,0,0,0,0,0,5,0,1,1,0,0,0,0,20,2,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/test/java/com/baomidou/dynamic/datasource/common/v3/SPELTest.java,com.baomidou.dynamic.datasource.common.v3.SPELTest,setup/1[com.baomidou.dynamic.datasource.common.v3.WebApplicationContext],false,67,2,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/test/java/com/baomidou/dynamic/datasource/common/v3/SPELTest.java,com.baomidou.dynamic.datasource.common.v3.SPELTest,testSPEL/0,false,72,7,7,0,7,1,27,21,0,6,0,27,1,1,0,0,0,0,18,0,6,0,1,0,0,1,27,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/strategy/LoadBalanceDynamicDataSourceStrategy.java,com.baomidou.dynamic.datasource.strategy.LoadBalanceDynamicDataSourceStrategy,determineKey/1[java.util.List<java.lang.String>],false,35,0,0,0,0,1,4,3,1,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/test/java/com/baomidou/dynamic/datasource/common/v3/AddRemoveDatasourceTest.java,com.baomidou.dynamic.datasource.common.v3.AddRemoveDatasourceTest,testAddAndRemoveDataSource/0,false,44,6,6,0,6,1,18,22,0,3,0,18,0,0,0,0,0,0,11,0,3,0,0,0,0,0,19,0,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidWallConfigUtil.java,com.baomidou.dynamic.datasource.creator.druid.DruidWallConfigUtil,"toWallConfig/1[java.util.Map<java.lang.String,java.lang.Object>]",false,42,2,3,1,2,5,11,23,1,4,1,11,0,0,1,2,1,0,3,0,4,0,3,0,0,0,19,9,2,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/check/SeataDataSourceProxyChecker.java,com.baomidou.dynamic.datasource.check.SeataDataSourceProxyChecker,loadSeataAdviceClass/0,false,70,0,0,0,0,2,2,9,2,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,15,10,1,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/check/SeataDataSourceProxyChecker.java,com.baomidou.dynamic.datasource.check.SeataDataSourceProxyChecker,afterSingletonsInstantiated/0,false,44,2,1,0,1,3,6,10,0,3,0,6,1,1,1,0,0,0,2,0,3,1,2,0,0,0,25,1,1,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/check/SeataDataSourceProxyChecker.java,com.baomidou.dynamic.datasource.check.SeataDataSourceProxyChecker,SeataDataSourceProxyChecker/1[com.baomidou.dynamic.datasource.check.ApplicationContext],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/check/SeataDataSourceProxyChecker.java,com.baomidou.dynamic.datasource.check.SeataDataSourceProxyChecker,isSeataProxyBean/1[com.baomidou.dynamic.datasource.DynamicRoutingDataSource],false,56,3,1,1,0,6,5,13,3,2,1,5,0,0,1,1,0,1,0,0,2,0,2,0,0,0,20,2,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot-starter/src/test/java/com/baomidou/dynamic/datasource/common/v1/NestDataSourceTest.java,com.baomidou.dynamic.datasource.common.v1.NestApplication,main/1[java.lang.String[]],false,88,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/processor/DsJakartaSessionProcessor.java,com.baomidou.dynamic.datasource.processor.DsJakartaSessionProcessor,"doDetermineDatasource/2[com.baomidou.dynamic.datasource.processor.MethodInvocation,java.lang.String]",false,41,3,0,0,0,1,6,4,1,1,2,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,11,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/main/java/com/baomidou/dynamic/datasource/processor/DsJakartaSessionProcessor.java,com.baomidou.dynamic.datasource.processor.DsJakartaSessionProcessor,matches/1[java.lang.String],false,36,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/test/java/com/baomidou/dynamic/datasource/common/v4/NestDataSourceTest.java,com.baomidou.dynamic.datasource.common.v4.NestApplication,main/1[java.lang.String[]],false,87,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/test/java/com/baomidou/dynamic/datasource/common/v4/AddRemoveDatasourceTest.java,com.baomidou.dynamic.datasource.common.v4.AddRemoveDatasourceApplication,main/1[java.lang.String[]],false,72,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot3-starter/src/test/java/com/baomidou/dynamic/datasource/common/v3/DsTransactionalTest.java,com.baomidou.dynamic.datasource.common.v3.DsTransactionalApplication,main/1[java.lang.String[]],false,115,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,"base64ToByteArray/2[java.lang.String,boolean]",false,145,2,3,2,1,9,3,40,1,16,2,3,1,1,1,6,0,15,1,21,21,15,2,0,0,0,38,10,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,base64ToByteArray/1[java.lang.String],false,133,2,4,3,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,byteArrayToBase64/1[byte[]],false,77,2,3,2,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,"byteArrayToBase64/2[byte[],boolean]",false,91,2,2,2,0,5,3,33,1,13,2,3,0,0,1,2,0,11,1,30,13,16,2,0,0,0,28,10,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,byteArrayToAltBase64/1[byte[]],false,87,2,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,9,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,altBase64ToByteArray/1[java.lang.String],false,141,2,1,0,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/toolkit/Base64.java,com.baomidou.dynamic.datasource.toolkit.Base64,"base64toInt/2[char,byte[]]",false,196,1,1,1,0,2,0,7,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,31,10,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/ConnectionFactory.java,com.baomidou.dynamic.datasource.tx.ConnectionFactory$Anonymous2,initialValue/0,false,50,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/plugin/MasterSlaveAutoRoutingPlugin.java,com.baomidou.dynamic.datasource.plugin.MasterSlaveAutoRoutingPlugin,intercept/1[com.baomidou.dynamic.datasource.plugin.Invocation],false,46,3,2,0,2,3,5,15,1,4,1,5,0,0,0,2,1,0,0,1,5,0,2,0,0,0,14,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/plugin/MasterSlaveAutoRoutingPlugin.java,com.baomidou.dynamic.datasource.plugin.MasterSlaveAutoRoutingPlugin,plugin/1[java.lang.Object],false,62,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/plugin/MasterSlaveAutoRoutingPlugin.java,com.baomidou.dynamic.datasource.plugin.MasterSlaveAutoRoutingPlugin,setProperties/1[java.util.Properties],false,67,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,SavePointHolder/1[com.baomidou.dynamic.datasource.tx.ConnectionProxy],true,52,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,rollbackSavePoint/0,false,95,1,2,1,1,2,5,10,2,2,0,5,0,0,0,1,0,0,1,0,2,0,1,0,0,0,14,1,1,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,getConnectionProxy/0,false,111,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,conversionSavePointHolder/0,false,62,1,2,1,1,2,4,9,0,2,0,4,0,0,0,1,0,0,0,1,2,2,1,0,0,0,30,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,getSavePoints/0,false,120,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/tx/SavePointHolder.java,com.baomidou.dynamic.datasource.tx.SavePointHolder,releaseSavepoint/0,false,78,1,2,1,1,2,5,10,2,2,0,5,0,0,0,1,0,0,1,0,2,0,1,0,0,0,12,1,1,true
/tmp/ck-analysis/baomidou_dynamic-datasource/dynamic-datasource-spring-boot4-starter/src/test/java/com/baomidou/dynamic/datasource/common/v4/LoadDatasourceFromJDBCTest.java,com.baomidou.dynamic.datasource.common.v4.LoadDatasourceFromJDBCApplication,main/1[java.lang.String[]],false,58,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
