file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/alibaba_DataX/otsstreamreader/src/main/java/com/alibaba/datax/plugin/reader/otsstreamreader/internal/core/IStreamRecordSender.java,com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.IStreamRecordSender,sendToDatax/1[com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.StreamRecord],false,7,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.common.element.Record]",false,78,6,7,2,5,7,11,25,0,3,2,11,2,4,1,2,1,0,1,1,4,0,4,0,0,0,23,2,1,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",false,148,5,3,1,2,5,13,29,2,4,3,13,2,5,1,1,0,0,2,8,4,0,2,0,0,0,17,2,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeList/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",false,191,5,3,1,2,6,12,28,2,2,3,12,2,5,2,1,0,0,2,6,2,0,2,0,0,0,17,2,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,init/1[com.alibaba.datax.plugin.writer.osswriter.parquet.Configuration],false,58,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.plugin.writer.osswriter.parquet.JSONObject]",false,104,4,2,0,2,6,9,25,0,3,2,9,2,6,1,1,1,0,1,1,4,0,4,0,0,0,23,2,1,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,prepareForWrite/1[com.alibaba.datax.plugin.writer.osswriter.parquet.RecordConsumer],false,63,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writePrimitiveType/3[com.alibaba.datax.plugin.writer.osswriter.parquet.Type,com.alibaba.datax.common.element.Column,int]",false,315,3,7,0,7,12,22,39,1,2,3,22,0,0,0,4,0,0,0,0,4,0,2,0,0,0,10,2,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeStruct/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",false,231,4,2,1,1,3,8,14,2,1,3,8,1,5,0,1,0,0,0,0,1,0,1,0,0,0,14,2,0,false
/tmp/ck-analysis/alibaba_DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/parquet/ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writePrimitiveType/3[com.alibaba.datax.plugin.writer.osswriter.parquet.Type,java.lang.Object,int]",false,250,2,4,4,0,21,24,68,1,1,3,24,0,0,0,1,0,11,2,0,1,0,2,0,0,0,15,2,0,false
