file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/conductor-oss_conductor/postgres-persistence/src/test/java/com/netflix/conductor/postgres/dao/PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,class,21,22,1,21,7,1,0,27,0,0.65,0.0,0.0,5,0,3,2,0,0,3,0,0,0,4,0,0,3,0,1,0,0,0,49,1,0,0,3,2,31,7,9,0,12,2,0,0,1,70,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,class,12,14,2,12,27,2,0,43,19,0.8095238,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,2,0,3,0,0,3,0,1,116,6,0,4,1,0,15,1,25,2,21,2,0,0,0,108,1,2
/tmp/ck-analysis/conductor-oss_conductor/es8-persistence/src/main/java/org/conductoross/conductor/es8/config/ElasticSearchConditions.java,org.conductoross.conductor.es8.config.ElasticSearchConditions$ElasticSearchV8Enabled$enabledIndexing,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/HumanTaskMapper.java,com.netflix.conductor.core.execution.mapper.HumanTaskMapper,class,8,9,1,8,3,1,0,15,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,2,22,2,0,0,0,0,1,0,6,0,6,0,0,0,0,44,1,1
/tmp/ck-analysis/conductor-oss_conductor/os-persistence-v2/src/main/java/org/conductoross/conductor/os2/dao/query/parser/internal/Range.java,org.conductoross.conductor.os2.dao.query.parser.internal.Range,class,4,7,3,4,10,2,0,13,5,0.5,0.0,0.0,6,0,4,1,1,0,5,0,0,0,2,0,0,2,0,0,0,0,0,44,4,1,1,0,0,4,3,7,1,7,2,0,0,0,37,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/dao/MetadataDAO.java,com.netflix.conductor.dao.MetadataDAO,interface,2,30,28,2,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
/tmp/ck-analysis/conductor-oss_conductor/nats/src/main/java/com/netflix/conductor/contribs/queue/nats/NATSObservableQueue.java,com.netflix.conductor.contribs.queue.nats.NATSObservableQueue,class,7,9,2,7,16,2,0,18,0,0.47619048,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,1,0,3,0,0,1,0,0,70,2,0,4,4,1,11,0,7,5,6,2,0,0,2,56,1,7
/tmp/ck-analysis/conductor-oss_conductor/common-persistence/src/test/java/com/netflix/conductor/dao/TestBase.java,com.netflix.conductor.dao.TestBase,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/providers/anthropic/AnthropicTest.java,org.conductoross.conductor.ai.providers.anthropic.AnthropicTest$IntegrationTests,innerclass,11,11,0,11,3,1,0,16,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,3,34,0,0,0,0,0,5,4,12,0,12,0,0,0,0,46,0,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/StartWorkflowTaskMapper.java,com.netflix.conductor.core.execution.mapper.StartWorkflowTaskMapper,class,7,8,1,7,2,1,0,12,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,16,2,0,0,0,0,1,0,3,0,3,0,0,0,0,30,1,1
/tmp/ck-analysis/conductor-oss_conductor/common/src/main/java/com/netflix/conductor/common/metadata/workflow/StartWorkflowRequest.java,com.netflix.conductor.common.metadata.workflow.StartWorkflowRequest,class,9,14,5,9,31,1,1,0,407,0.90909094,0.0,0.0,31,0,31,0,0,0,31,0,0,0,11,0,0,11,0,0,0,0,0,115,20,0,0,0,0,3,12,23,0,11,0,0,0,0,48,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/integration/AIModelIntegrationTest.java,org.conductoross.conductor.ai.integration.AIModelIntegrationTest$MistralTests,innerclass,14,14,0,14,6,1,0,25,0,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,0,0,2,65,0,0,0,0,0,27,8,22,4,22,0,0,0,0,76,0,0
/tmp/ck-analysis/conductor-oss_conductor/e2e/src/test/java/io/conductor/e2e/task/PollTimeoutTests.java,io.conductor.e2e.task.PollTimeoutTests,class,9,9,0,9,5,1,0,22,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,33,0,1,1,1,0,9,10,11,2,11,2,0,0,3,84,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/providers/grok/GrokTest.java,org.conductoross.conductor.ai.providers.grok.GrokTest$IntegrationTests,innerclass,11,11,0,11,2,1,0,15,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,2,22,0,0,0,0,0,3,2,7,0,7,0,0,0,0,38,0,0
/tmp/ck-analysis/conductor-oss_conductor/postgres-persistence/src/main/java/com/netflix/conductor/postgres/util/QueryFunction.java,com.netflix.conductor.postgres.util.QueryFunction,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/test/java/org/conductoross/conductor/core/execution/tasks/annotated/TestAnnotatedMethodParameterMapper.java,org.conductoross.conductor.core.execution.tasks.annotated.TestAnnotatedMethodParameterMapper,class,6,7,1,6,8,1,0,15,0,0.125,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,8,83,1,0,0,0,0,37,23,25,0,25,0,0,2,0,35,1,0
/tmp/ck-analysis/conductor-oss_conductor/rest/src/main/java/com/netflix/conductor/rest/controllers/ValidationExceptionMapper.java,com.netflix.conductor.rest.controllers.ValidationExceptionMapper,class,22,23,1,22,21,1,0,37,15,0.88888884,NaN,NaN,6,0,1,5,0,0,1,0,0,0,3,2,1,2,0,0,3,0,8,83,17,0,1,0,0,7,0,9,0,9,2,0,0,1,47,1,2
/tmp/ck-analysis/conductor-oss_conductor/e2e/src/test/java/io/conductor/e2e/control/DoWhileTests.java,io.conductor.e2e.control.DoWhileTests$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/vectordb/postgres/PostgresConfig.java,org.conductoross.conductor.ai.vectordb.postgres.PostgresConfig,class,5,9,4,5,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,9,0,0,9,0,0,0,0,0,17,1,0,0,0,0,3,3,5,0,9,0,0,0,0,30,1,0
/tmp/ck-analysis/conductor-oss_conductor/test-harness/src/test/java/com/netflix/conductor/test/integration/http/ForkJoinSyncModeIntegrationTest.java,com.netflix.conductor.test.integration.http.ForkJoinSyncModeIntegrationTest$TestConfig,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,8,0
/tmp/ck-analysis/conductor-oss_conductor/sqlite-persistence/src/main/java/com/netflix/conductor/sqlite/dao/SqliteExecutionDAO.java,com.netflix.conductor.sqlite.dao.SqliteExecutionDAO,class,19,22,3,19,106,2,0,137,1764,0.95,0.0,0.0,60,3,31,28,0,1,32,0,0,0,1,0,0,1,0,0,1,0,18,463,43,4,10,7,0,91,8,83,14,133,4,0,0,54,227,1,9
/tmp/ck-analysis/conductor-oss_conductor/es7-persistence/src/test/java/com/netflix/conductor/es7/dao/index/ElasticSearchRestDaoBaseTest.java,com.netflix.conductor.es7.dao.index.ElasticSearchRestDaoBaseTest,class,12,15,3,12,5,2,2,14,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,31,0,1,2,0,1,9,3,12,1,12,1,0,0,0,44,1025,0
/tmp/ck-analysis/conductor-oss_conductor/es7-persistence/src/main/java/com/netflix/conductor/es7/dao/query/parser/internal/ParserException.java,com.netflix.conductor.es7.dao.query.parser.internal.ParserException,class,0,9,9,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/conductor-oss_conductor/es8-persistence/src/test/java/org/conductoross/conductor/es8/dao/query/parser/internal/TestBooleanOp.java,org.conductoross.conductor.es8.dao.query.parser.internal.TestBooleanOp,class,4,4,0,4,3,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,3,0,6,0,6,1,0,0,0,20,1,0
/tmp/ck-analysis/conductor-oss_conductor/postgres-persistence/src/main/java/com/netflix/conductor/postgres/dao/PostgresBaseDAO.java,com.netflix.conductor.postgres.dao.PostgresBaseDAO,class,13,20,7,13,24,1,6,40,40,0.7846154,0.0,0.0,13,0,0,1,11,1,12,0,1,0,5,1,0,2,3,0,5,0,8,134,11,0,0,10,0,5,0,17,0,22,3,0,0,7,143,1025,5
/tmp/ck-analysis/conductor-oss_conductor/sqlite-persistence/src/main/java/com/netflix/conductor/sqlite/dao/SqliteIndexDAO.java,com.netflix.conductor.sqlite.dao.SqliteIndexDAO,class,15,18,3,15,34,2,0,56,403,0.91333324,0.0,0.0,30,0,30,0,0,0,30,0,0,0,5,2,0,5,0,0,4,0,22,208,28,2,0,0,0,47,7,43,2,60,2,0,0,20,137,1,19
/tmp/ck-analysis/conductor-oss_conductor/es8-persistence/src/test/java/org/conductoross/conductor/es8/dao/index/ElasticSearchTest.java,org.conductoross.conductor.es8.dao.index.ElasticSearchTest,class,12,13,1,12,3,1,1,8,0,0.6666667,0.0,0.0,2,2,2,0,0,0,2,0,0,0,3,1,0,0,3,0,1,0,0,22,0,0,0,1,0,11,0,1,0,3,1,0,1,0,21,1025,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SystemTaskRegistry.java,com.netflix.conductor.core.execution.tasks.SystemTaskRegistry,class,3,11,8,3,3,1,0,10,0,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,3,13,2,0,0,0,0,3,0,2,1,2,0,0,0,1,41,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/providers/anthropic/AnthropicTest.java,org.conductoross.conductor.ai.providers.anthropic.AnthropicTest$UnitTests,innerclass,9,9,0,9,8,1,0,21,0,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,1,0,0,1,0,0,0,0,3,51,0,0,0,0,0,10,7,10,0,10,0,0,0,2,43,0,0
/tmp/ck-analysis/conductor-oss_conductor/common/src/main/java/com/netflix/conductor/common/run/ExternalStorageLocation.java,com.netflix.conductor.common.run.ExternalStorageLocation,class,0,6,6,0,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,3,0,2,2,2,0,0,0,0,33,1,0
/tmp/ck-analysis/conductor-oss_conductor/task-status-listener/src/main/java/com/netflix/conductor/contribs/listener/TaskStatusPublisherConfiguration.java,com.netflix.conductor.contribs.listener.TaskStatusPublisherConfiguration,class,9,9,0,9,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0
/tmp/ck-analysis/conductor-oss_conductor/amqp/src/main/java/com/netflix/conductor/contribs/queue/amqp/util/AMQPSettings.java,com.netflix.conductor.contribs.queue.amqp.util.AMQPSettings,class,4,9,5,4,49,1,0,33,81,0.7877238,0.0,0.0,23,0,23,0,0,0,23,0,6,0,17,2,0,17,0,0,5,0,29,178,23,0,9,0,8,30,20,31,1,24,6,0,1,1,110,1,1
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/events/ActionProcessor.java,com.netflix.conductor.core.events.ActionProcessor,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/pdf/MarkdownToPdfConverterTest.java,org.conductoross.conductor.ai.pdf.MarkdownToPdfConverterTest$EmphasisAndFormatting,innerclass,4,4,0,4,3,1,0,5,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0,17,0,0,0,2,0,5,1,4,0,4,1,0,0,0,32,0,0
/tmp/ck-analysis/conductor-oss_conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/config/ElasticSearchConditions.java,com.netflix.conductor.es6.config.ElasticSearchConditions,class,1,1,0,1,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0
/tmp/ck-analysis/conductor-oss_conductor/common/src/main/java/com/netflix/conductor/common/constraints/TaskReferenceNameUniqueConstraint.java,com.netflix.conductor.common.constraints.TaskReferenceNameUniqueConstraint$TaskReferenceNameUniqueValidator,class,8,8,0,8,8,1,0,21,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,3,1,2,0,0,1,2,6,0,8,2,0,0,3,36,0,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/AIModelProvider.java,org.conductoross.conductor.ai.AIModelProvider,class,8,12,4,8,8,1,0,12,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,1,36,2,2,2,1,0,8,0,7,3,8,3,0,0,1,44,1,2
/tmp/ck-analysis/conductor-oss_conductor/core/src/test/java/com/netflix/conductor/core/reconciliation/TestWorkflowRepairService.java,com.netflix.conductor.core.reconciliation.TestWorkflowRepairService$Anonymous1,anonymous,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/tmp/ck-analysis/conductor-oss_conductor/annotations-processor/src/main/java/com/netflix/conductor/annotationsprocessor/protogen/Enum.java,com.netflix.conductor.annotationsprocessor.protogen.Enum$MapType,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,15,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/WaitTaskMapper.java,com.netflix.conductor.core.execution.mapper.WaitTaskMapper,class,9,10,1,9,11,1,0,33,4,0.625,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,1,1,1,0,0,2,0,9,62,3,0,0,1,3,5,4,16,5,15,3,0,0,0,71,1,1
/tmp/ck-analysis/conductor-oss_conductor/scheduler/src/test/java/org/conductoross/conductor/scheduler/service/SchedulerServicePhase2Test.java,org.conductoross.conductor.scheduler.service.SchedulerServicePhase2Test,class,14,15,1,14,32,1,0,79,0,0.4423077,0.0,0.0,26,0,24,2,0,0,24,0,0,0,4,0,0,4,0,0,0,0,45,321,6,5,0,0,1,120,76,73,29,77,1,0,0,5,346,1,0
/tmp/ck-analysis/conductor-oss_conductor/rest/src/main/java/com/netflix/conductor/rest/controllers/EventResource.java,com.netflix.conductor.rest.controllers.EventResource,class,12,13,1,12,6,1,0,5,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,21,2,0,0,0,0,11,0,1,0,1,0,0,0,0,29,1,0
/tmp/ck-analysis/conductor-oss_conductor/nats/src/test/java/com/netflix/conductor/contribs/queue/nats/JetStreamObservableQueueTest.java,com.netflix.conductor.contribs.queue.nats.JetStreamObservableQueueTest,class,28,28,0,28,13,1,0,73,10,0.6666667,0.0,0.0,12,0,12,0,0,0,12,0,0,0,11,0,0,11,0,0,0,0,2,209,1,1,0,0,1,141,21,50,4,60,1,0,0,2,140,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/JoinTaskMapper.java,com.netflix.conductor.core.execution.mapper.JoinTaskMapper,class,7,8,1,7,3,1,0,18,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,3,22,2,0,0,0,0,2,0,4,0,4,1,0,0,0,43,1,1
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/index/NoopIndexDAOConfiguration.java,com.netflix.conductor.core.index.NoopIndexDAOConfiguration,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/conductor-oss_conductor/azureblob-storage/src/main/java/com/netflix/conductor/azureblob/storage/AzureBlobPayloadStorage.java,com.netflix.conductor.azureblob.storage.AzureBlobPayloadStorage,class,16,19,3,16,19,1,0,43,0,0.54,0.0,0.0,5,0,4,1,0,0,4,0,0,0,10,2,0,10,0,0,10,0,1,126,3,0,4,3,0,8,0,35,2,30,3,0,0,0,148,1,4
/tmp/ck-analysis/conductor-oss_conductor/os-persistence/src/test/java/com/netflix/conductor/os/config/OpenSearchDeprecationTest.java,com.netflix.conductor.os.config.OpenSearchDeprecationTest,class,2,2,0,2,12,1,0,6,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,4,0,39,2,10,0,10,1,0,0,0,79,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/DoWhile.java,com.netflix.conductor.core.execution.tasks.DoWhile,class,15,18,3,15,61,2,0,83,16,0.6666667,0.0,0.0,12,0,3,1,0,8,11,0,0,0,3,1,0,3,0,0,3,0,12,250,26,5,10,2,3,34,13,56,9,55,3,0,0,5,191,1,18
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/models/StoreEmbeddingsInput.java,org.conductoross.conductor.ai.models.StoreEmbeddingsInput,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,20,1,0
/tmp/ck-analysis/conductor-oss_conductor/rest/src/main/java/com/netflix/conductor/rest/controllers/AdminResource.java,com.netflix.conductor.rest.controllers.AdminResource,class,9,10,1,9,6,1,0,6,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,21,5,0,0,0,0,19,0,1,0,1,0,0,0,0,56,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/models/VectorDBInput.java,org.conductoross.conductor.ai.models.VectorDBInput,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/test/java/com/netflix/conductor/service/WorkflowBulkServiceTest.java,com.netflix.conductor.service.WorkflowBulkServiceTest$TestWorkflowBulkConfiguration,innerclass,6,6,0,6,3,1,0,1,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/integration/AIModelIntegrationTest.java,org.conductoross.conductor.ai.integration.AIModelIntegrationTest$GeminiTests,innerclass,14,14,0,14,5,1,0,26,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,0,0,3,42,0,0,0,0,0,14,3,12,1,12,1,0,0,0,58,0,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/providers/gemini/GeminiVertexConfiguration.java,org.conductoross.conductor.ai.providers.gemini.GeminiVertexConfiguration,class,9,14,5,9,3,1,0,1,1,0.85714287,0.0,0.0,2,0,2,0,0,0,2,0,0,0,7,0,0,5,0,2,0,0,1,15,2,0,1,0,0,2,0,0,0,7,0,0,0,0,24,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/test/java/org/conductoross/conductor/core/execution/tasks/annotated/TestAnnotatedSystemTaskIntegration.java,org.conductoross.conductor.core.execution.tasks.annotated.TestAnnotatedSystemTaskIntegration$SampleAnnotatedTasks,innerclass,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,8,3,0,2,0,0,0,0,0,16,8,0
/tmp/ck-analysis/conductor-oss_conductor/e2e/src/test/java/io/conductor/e2e/task/HTTPTaskTests.java,io.conductor.e2e.task.HTTPTaskTests,class,9,9,0,9,1,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,5,7,10,0,9,1,0,0,2,35,1,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/test/java/com/netflix/conductor/service/TaskServiceTest.java,com.netflix.conductor.service.TaskServiceTest$TestTaskConfiguration,innerclass,6,6,0,6,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,14,8,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/core/utils/ParametersUtils.java,com.netflix.conductor.core.utils.ParametersUtils,class,14,43,29,14,48,1,0,95,62,0.875,0.0,0.0,12,0,6,6,0,0,6,0,0,0,4,2,0,4,0,0,4,0,5,246,14,4,17,2,1,46,15,48,5,47,4,1,1,3,93,1,1
/tmp/ck-analysis/conductor-oss_conductor/os-persistence-v3/src/test/java/org/conductoross/conductor/os3/dao/query/parser/internal/TestConstValue.java,org.conductoross.conductor.os3.dao.query.parser.internal.TestConstValue,class,6,6,0,6,7,2,0,13,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,16,2,19,0,14,0,0,0,0,32,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/pdf/MarkdownToPdfConverter.java,org.conductoross.conductor.ai.pdf.MarkdownToPdfConverter,class,16,22,6,16,15,1,0,33,8,0.6,0.0,0.0,5,0,2,3,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,55,5,0,4,1,0,11,0,11,0,11,2,0,0,0,84,1,0
/tmp/ck-analysis/conductor-oss_conductor/amqp/src/main/java/com/netflix/conductor/contribs/queue/amqp/util/AMQPSettings.java,com.netflix.conductor.contribs.queue.amqp.util.AMQPSettings$Type,enum,2,2,0,2,4,1,0,2,0,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,13,2,1,0,0,0,2,0,1,0,1,2,0,0,0,15,1,0
/tmp/ck-analysis/conductor-oss_conductor/os-persistence-v3/src/test/java/org/conductoross/conductor/os3/config/OpenSearchPropertiesTest.java,org.conductoross.conductor.os3.config.OpenSearchPropertiesTest$IntegrationTestWithNewProperties$TestConfig,innerclass,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
/tmp/ck-analysis/conductor-oss_conductor/awssqs-event-queue/src/main/java/com/netflix/conductor/sqs/eventqueue/SQSObservableQueue.java,com.netflix.conductor.sqs.eventqueue.SQSObservableQueue$SqsStatement,innerclass,2,2,0,2,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,4,0,4,0,4,0,0,0,0,12,10,0
/tmp/ck-analysis/conductor-oss_conductor/core/src/main/java/com/netflix/conductor/service/AdminServiceImpl.java,com.netflix.conductor.service.AdminServiceImpl,class,12,13,1,12,12,1,0,21,7,0.6904762,0.0,0.0,7,0,6,1,0,0,6,0,0,0,6,0,0,6,0,0,6,0,2,53,7,0,3,0,1,5,0,13,3,11,1,0,0,0,78,1,0
/tmp/ck-analysis/conductor-oss_conductor/sqlite-persistence/src/test/java/com/netflix/conductor/sqlite/dao/SqliteQueueDAOTest.java,com.netflix.conductor.sqlite.dao.SqliteQueueDAOTest,class,20,21,1,20,32,1,0,59,0,0.75,0.0,0.0,8,0,7,1,0,0,7,0,0,0,6,1,1,4,0,1,1,0,2,245,1,15,3,7,0,77,81,95,27,88,3,0,0,4,121,1,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/test/java/org/conductoross/conductor/ai/providers/ollama/OllamaTest.java,org.conductoross.conductor.ai.providers.ollama.OllamaTest$UnitTests,innerclass,8,8,0,8,5,1,0,11,0,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,3,2,5,0,5,0,0,0,1,30,0,0
/tmp/ck-analysis/conductor-oss_conductor/ai/src/main/java/org/conductoross/conductor/ai/providers/stabilityai/StabilityAI.java,org.conductoross.conductor.ai.providers.stabilityai.StabilityAI,class,18,19,1,18,17,1,0,29,19,0.8095238,0.0,0.0,7,1,6,1,0,0,6,0,0,0,3,1,1,2,0,0,3,0,1,64,7,1,5,1,0,12,32,22,4,21,2,0,0,3,156,1,0
